              Procedure           Image            Address        Calls Instructions
png_create_write_struct_2 /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf2740            1           28
          png_write_end /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf24f0            1           34
         png_write_info /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf2120            1           60
png_write_info_before_PLTE /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf1f40            1           56
       png_set_write_fn /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf1680            2           28
png_set_interlace_handling /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0df0            2           12
        png_set_packing /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0d90            1            5
png_set_check_for_invalid_index /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0b90            1            6
  png_set_benign_errors /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0b70            2           16
    png_set_user_limits /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0b30            1            5
png_set_compression_buffer_size /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0a60            1           28
png_set_read_user_chunk_fn /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf09e0            1            5
png_set_keep_unknown_chunks /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf0750            3          480
           png_set_oFFs /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdef330            1            9
           png_set_IHDR /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdef230            2          114
           png_set_bKGD /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdeebd0            1           14
        png_get_uint_31 /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde9960            5           65
     png_set_crc_action /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde4060            1           21
        png_set_read_fn /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde3740            2           28
png_destroy_read_struct /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde2cb0            1           68
           png_read_end /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde2770            1           44
           png_read_row /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde0a20          365        31391
   png_read_update_info /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde09a0            1           16
          png_read_info /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde0470            1           56
png_create_read_struct_2 /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefde0400            1           18
         png_set_mem_fn /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefddcfb0            2           12
               png_free /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefddcee0           32          226
